Identifier 1,cal d13C,cal %C,cal d15N,cal %N,C:N,File
CH-21-042,-21.32,52.79,13.99,11.94,4.42,Albion 2021 Tray 1 - April 2023
CH-21-155,-22.02,63.72,14.96,8.12,7.85,Albion 2021 Tray 1 - April 2023
CH-21-244,-18.69,53.95,15.78,11.77,4.58,Albion 2021 Tray 1 - April 2023
CH-21-207,-20.81,53.73,14.55,9.67,5.56,Albion 2021 Tray 1 - April 2023
CH-21-054,-20.46,57.51,14.44,10.15,5.67,2021 Albion Tray 2 - April 2023
CH-21-250,-20.43,60.82,15.67,8.65,7.03,2021 Albion Tray 2 - April 2023
CH-21-152,-21.17,62.41,15.4,7.49,8.33,2021 Albion Tray 2 - April 2023
CH-21-128,-22.43,59.28,15.18,8.06,7.36,2021 Albion Tray 2 - April 2023
CH-21-069,-22.43,61.28,15.17,7.3,8.39,2021 Albion Tray 2 - April 2023
CH-21-091,-20.47,60.08,14.36,9.73,6.17,2021 Albion Tray 2 - April 2023
CH-21-068,-22.03,58.11,14.21,8.05,7.22,2021 Albion Tray 2 - April 2023
CH-21-116,-22.15,62.19,14.62,6.82,9.12,2021 Albion Tray 2 - April 2023
CH-21-060,-22.93,60.64,15.17,6.47,9.37,2021 Albion Tray 2 - April 2023
CH-21-156,-21.57,63,14.76,8.13,7.75,2021 Albion Tray 2 - April 2023
CH-21-064,-22.16,52.89,15.35,8.91,5.94,2021 Albion Tray 2 - April 2023
CH-21-107,-22.12,60.92,14.48,11.02,5.53,2021 Albion Tray 2 - April 2023
CH-21-248,-20.14,56.54,15.06,8.98,6.29,2021 Albion Tray 2 - April 2023
CH-21-023,-23.09,63.6,15.42,7.68,8.28,2021 Albion Tray 2 - April 2023
CH-21-227,-22.66,62.6,15.01,8.15,7.68,2021 Albion Tray 2 - April 2023
CH-21-007,-22.55,63.74,15.27,10,6.37,2021 Albion Tray 2 - April 2023
CH-21-191,-19.48,57.51,14.7,12.42,4.63,2021 Albion Tray 2 - April 2023
CH-21-246,-19.15,57.11,15.46,11.11,5.14,2021 Albion Tray 2 - April 2023
CH-21-047,-22.72,58.63,14.73,8.03,7.3,2021 Albion Tray 2 - April 2023
CH-21-229,-21.4,66.02,14.71,7.87,8.39,2021 Albion Tray 2 - April 2023
CH-21-148,-24.03,64.76,14.42,7.66,8.45,2021 Albion Tray 2 - April 2023
CH-21-122,-22.97,53.95,13.63,3.48,15.49,2021 Albion Tray 2 - April 2023
CH-21-051,-23.76,59.73,14.44,8.98,6.65,2021 Albion Tray 2 - April 2023
