Identifier 1,cal d13C,cal %C,cal d15N,cal %N,C:N,File
QF7002,-26.34,40.97,9.33,8.36,4.9,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF6943,-20.68,33.78,10.54,6.22,5.43,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF5564,-21.71,38.31,11.07,9.69,3.95,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF6984,-21.09,35.41,10.95,7.54,4.7,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF6979,-24.79,41.6,10.99,7.32,5.69,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF6964,-23.11,35.68,11.31,6.23,5.72,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF5561,-20.6,41.17,13,10.4,3.96,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF5563,-18,47.62,11.56,10.56,4.51,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7534,-20.62,43.28,9.46,7.21,6,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7542,-21.17,45.74,9.63,6.83,6.7,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF8105,-20.2,39.36,9.63,6.12,6.43,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7552,-20.8,43.34,9.48,7.55,5.74,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF8170,-20.73,43.68,10.9,9.65,4.53,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF8165,-21.58,44.15,10.57,8.29,5.33,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF5677,-21.91,44.32,10.39,7.93,5.59,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF8142,-21.83,45.26,10.26,7.92,5.71,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7483,-20.22,47.07,8.35,7.52,6.26,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7520,-20.45,47.19,9.33,7.52,6.28,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7527,-20.56,44.09,9.57,7.14,6.18,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7059,-21.27,40.82,9.05,8.73,4.68,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7064,-20.65,46.38,9.81,7.72,6,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7321,-21.44,44.14,10.51,7.32,6.03,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF5598,-19.33,39.99,11.83,11.33,3.53,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7097,-21.44,45.33,9.93,8.5,5.33,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
